size,cutof,seq_time,p_inplace_time,p_best_span_time
10000,1,0.00136491,0.00293899,0.027212
10000,10,0.00138061,0.000833731,0.0239308
10000,50,0.00138483,0.000870413,0.0127717
10000,100,0.0013889,0.00102172,0.00908445
10000,500,0.00138388,0.00112301,0.00406005
10000,1000,0.00139034,0.000877332,0.00325643
10000,10000,0.00133804,0.00136166,0.00138741
100000,1,0.0165765,0.0126112,0.254181
100000,10,0.0170252,0.00583391,0.199018
100000,50,0.0170024,0.00461846,0.106049
100000,100,0.0169774,0.00427842,0.0845511
100000,500,0.0170057,0.00553066,0.0417605
100000,1000,0.0169915,0.00504107,0.0277559
100000,10000,0.0169944,0.0055259,0.013647
1000000,1,0.203507,0.0954934,1.97552
1000000,10,0.205615,0.0593363,1.58726
1000000,50,0.198837,0.0477555,0.991182
1000000,100,0.204575,0.0446243,0.805536
1000000,500,0.198634,0.0463753,0.437046
1000000,1000,0.199065,0.0442102,0.326573
1000000,10000,0.197626,0.048178,0.169732
10000000,1,2.25906,1.01901,18.4369
10000000,10,2.2646,0.613397,12.8734
10000000,50,2.29696,0.466211,9.09899
10000000,100,2.26834,0.498023,8.00758
10000000,500,2.27145,0.499529,5.11261
10000000,1000,2.35414,0.454698,3.04152
10000000,10000,2.33978,0.437209,1.85361
